,number,smiles,mapped_smiles,component_name,n_conformers
81,82,Cc1c[nH]c2ccccc12,[H:18][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:19])[C:2](=[C:3]([N:4]2[H:15])[H:14])[C:1]([H:11])([H:12])[H:13])[H:16])[H:17],component-082,1
82,83,CCCCC[N+](=O)[O-],[H:9][C:1]([H:10])([H:11])[C:2]([H:12])([H:13])[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[N+:6](=[O:7])[O-:8],component-083,9
83,84,CC(C)[N+](=O)[O-],[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([C:3]([H:11])([H:12])[H:13])[N+:4](=[O:5])[O-:6],component-084,2
84,85,c1ccc(Cn2ccnc2)cc1,[H:13][c:1]1[c:2]([c:3]([c:4]([c:11]([c:12]1[H:22])[H:21])[C:5]([H:16])([H:17])[N:6]2[C:7](=[C:8]([N:9]=[C:10]2[H:20])[H:19])[H:18])[H:15])[H:14],component-085,4
85,86,COC(=O)c1ccc(O)cc1,[H:15][c:6]1[c:7]([c:8]([c:10]([c:11]([c:5]1[C:3](=[O:4])[O:2][C:1]([H:12])([H:13])[H:14])[H:19])[H:18])[O:9][H:17])[H:16],component-086,2
86,87,CN(C)C(=O)c1ccccc1,[H:20][c:9]1[c:8]([c:7]([c:6]([c:11]([c:10]1[H:21])[H:22])[C:4](=[O:5])[N:2]([C:1]([H:12])([H:13])[H:14])[C:3]([H:15])([H:16])[H:17])[H:18])[H:19],component-087,1
87,88,CC(C)=CCC/C(C)=C/CO,[H:18][C:4](=[C:2]([C:1]([H:12])([H:13])[H:14])[C:3]([H:15])([H:16])[H:17])[C:5]([H:19])([H:20])[C:6]([H:21])([H:22])/[C:7](=[C:9](\[H:26])/[C:10]([H:27])([H:28])[O:11][H:29])/[C:8]([H:23])([H:24])[H:25],component-088,10
88,89,O=C1NC(=O)c2ccccc21,[H:14][c:8]1[c:9]([c:10]([c:11]2[c:6]([c:7]1[H:13])[C:4](=[O:5])[N:3]([C:2]2=[O:1])[H:12])[H:16])[H:15],component-089,1
89,90,CCOC(=O)c1ccc(O)cc1,[H:18][c:7]1[c:8]([c:9]([c:11]([c:12]([c:6]1[C:4](=[O:5])[O:3][C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:22])[H:21])[O:10][H:20])[H:19],component-090,4
90,91,CCCCCCO[N+](=O)[O-],[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([H:15])[C:3]([H:16])([H:17])[C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[C:6]([H:22])([H:23])[O:7][N+:8](=[O:9])[O-:10],component-091,10
